电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
英雄虎胆,556000,9031,2325,704,889,战争,暂无评分,评分人数不足,已完结, 全23集,0,14,简介：本剧是根据经典老电影《英雄虎胆》重新创作，却比原作更上一层楼，加入了不少精彩的情节。全剧错综复杂，悬念不断，斗智斗勇，紧张激烈！加上演员表演出色，令人越看越想看下去，欲罢不能。千万别错过哦！广西十万大山，方圆百余公里，山高林密，谷深峰险，土匪多如牛毛。新中国建国初期的1950年，为肃清匪患，人民解放军奉命剿匪，故事由此展开。我部侦察科长曾泰冒充台湾派到土匪李汗光部当副司令的雷震庭打入匪窟……,
飞翔的梧桐子,33000,9,139,46,187,励志,暂无评分,评分人数不足,已完结, 全23集,0,0,简介：该剧主要讲述的是大学生吴桐毕业后走向社会，为了生存学会了坚强面对生活中的挑战和压力的故事。,
真诚,8546,2,110,2,7,都市情感,暂无评分,评分人数不足,已完结, 全20集,0,0,简介：历史悠久的楚公馆祖传大量珍贵古玩文物，但长子楚汉其不务正业，嗜酒又好赌，输后便悄悄拿出家中古玩变卖，赋闲在家的齐燕深恶痛绝，百般劝阻均无效，小弟楚汉林则是旅英的实业家，酷爱中国古代文化，既回祖国兴办水电站又修建乡村路，给政府写信，表示要将自己家，改建成向社会开放的博物馆。,
国宝,25000,52,219,9,45,年代励志,暂无评分,评分人数不足,已完结, 全20集,0,3,简介：1931年，日军入侵山海关，华北形势告急，故宫博物院决定将馆藏精品转移，以避战火浩劫。文物由北京经上海、南京辗转运抵位于大后方的四川和贵州，最后保存在乐山、峨嵋、安顺等偏远地区。至抗战结束后，陆续运回南京，之后部分被运送到台湾，部分回归北平本院，部分留在南京。文物南迁工作历时十五年，近二万箱、近百万件文物，行程数万公里，曾经在徐州、郑州遭到日军飞机的轰炸、在峨嵋经受了大火的考验，但都能化险为夷，文物没有丢失损毁，这是中国文物保护史乃至文化史上的奇迹，也是中华文明史上的奇迹。,
婆媳过招,169000,488,765,493,202,搞笑,暂无评分,评分人数不足,已完结, 全26集,0,2,简介：主要讲述婆媳之间在日常生活中产生的矛盾及情感纠葛问题。,
惊天东方号,210000,2168,1940,977,367,悬疑刑侦,暂无评分,评分人数不足,已完结, 全20集,0,3,简介：2002年初夏，一个针对中国皇陵的国际走私恐怖行动秘密展开，正邪交锋，集团副首脑美奈子落入我公安部反劫持小组徐枫(王诗槐饰)手中，数月后，首脑申克用重型武装劫持了中国开往莫斯科的东方国际列车，数百中外旅客成为人质。多方交涉未果，反劫持负责人宇文长延(石凉饰)开始营救，可几名突击队员被杀，部分人质被申克杀死，不得不释放美奈子并将1500万赎金交给了潜伏多时的恐怖分子朱立安(徐锦江饰)。赎金到手，一个策划已久的恐怖计划又展开，安准备将申克连同整列列车一并炸毁，唯一的知情者竟是徐枫妻子苏颖(王姬饰)，当警方获悉这一情报，...,
人生有梦,20000,309,238,1,39,都市情感,暂无评分,评分人数不足,已完结, 全19集,0,0,简介：《人生有梦》讲述了陈鲁艺(俞飞鸿饰)、楚天良(王新军饰)、刘宁(刘之冰饰)，这三个昔日有瓜葛的中学同学，日后竟成为商海上的工作搭档以及竞争对手，在天良奋斗成为四海集团老总的同时，他对鲁艺的旧情也复发，由此引来了刘宁对他的无情报复，从而演变成不可收拾的悲剧……于是生命中那些原本不该发生的事不但发生了，还深刻地改变了他们的命运。剧作结尾，留下了最意味深长的一笔——在她对情感完全失望之后，鲁艺即没有选择刘宁的智慧，也没有选择天良的忠厚，而是选择了离开。,
一路上有你,23000,259,172,--,24,情感都市,暂无评分,评分人数不足,已完结, 全20集,0,1,简介：剧情：白领丽人丁夏（孔琳饰）参加前男友婚礼，邂逅同遭恋人离弃而失落的远帆（程前饰），帆的好友张杰（何家劲饰）大闹婚礼而赢得夏的青睐，杰猛烈追求夏。摄影师明宇（张叠文饰）巧遇昔日偶像名星丹红（栾凤玲饰），红因车祸双目失明。车祸肇事者陈开（邵兵饰）在照料红时爱上红，放弃拳击生涯替红开了间花店，但她眼睛治好后自己则负疚离开。杰的前女友回到北京，夏再次失恋，帆约夏外出旅游，不料他却患了脑瘤。宇也愿意和表哥帆等一行人外出。由此，他们踏上美国领土，开始了一场情恨交加、险象环生的漫漫之旅……,
月落长江,23000,109,343,8,52,年代,暂无评分,评分人数不足,已完结, 全24集,0,0,简介：这是一部关于人性、真爱、错爱、缘份、命运悲欢离合的电视剧。以二十世纪四十年代末到八十年代初期为历史背景，讲述长江沿岸临江发电厂两代人的命运沉浮、悲欢离合、感情纠葛及矛盾冲突。描写了上一辈人及下一代儿女们的爱情故事，塑造了众多栩栩如生的人物形象，如有良知、敢爱敢恨的工人子弟匡逸夫，出卖妻子、出卖灵魂，坚持“左比右好”的“风派”人物庄楚，惨遭蹂躏的资本家女儿席小容，相貌丑陋、心地善良的农民来福，大串连后接受“再教育”的知识青年匡美珠等等。故事起伏跌宕、扣人心弦而又凄婉动人。,
追捕,121000,138,731,14,132,情感,暂无评分,评分人数不足,已完结, 全30集,0,3,简介：上世纪30年代的上海滩，正处在暗潮涌动、鱼龙混杂的动荡时期。日本侵略者、国民党、共产党、黑帮，多方势力云集于此，各自书写着一段段传奇的历史。供职于公济医院的外科医生兰心茹（海清 饰）无心过问政治，与世无争。与之相反，心茹的男友刘天舒（吴秀波 饰）以及医院的同事齐玉珍（李文捷 饰）分别是我党布置在上海特科特工和地下党员。一次以外，令天舒叛变投敌，地下党据点因此遭到国民党的扫荡，齐玉珍也在此事件中身亡。以此为契机，心茹阴差阳错成为地下党的一员。为了找到下落不明的名单，保护十数名地下党同志的性命，她与爱人天舒展...,
长江一号,95000,116,436,29,96,战争,暂无评分,评分人数不足,已完结, 全34集,0,2,简介：在洪湖地区，只有918师驻扎抗日。918师原是西北军杨虎城旧部，抗战爆发后编入汤恩伯麾下，在武汉会战中被中央军排斥倾轧，几乎全军覆没。师长房近斋打出了外抗日寇内抗中央的旗帜，招兵买马，迅速壮大，成了江北抗日力量中的一支劲旅……,
红海棠,30000,15,260,6,68,,暂无评分,评分人数不足,已完结, 全27集,0,0,简介：年幼丧父的淑媛唐翘楚是家中长女，家境殷实，她和妹妹绰约、母亲的感情很好，虽然是个没有男人的家庭，但是一家三口其乐融融。唯一让翘楚不满意的是，母亲一直期盼她嫁入豪门、荫庇家人，总是张罗一些她不喜欢的男人介绍给她……,
牵手,205000,5709,2007,897,879,情感,暂无评分,评分人数不足,已完结, 全18集,0,1,简介：钟锐 (吴若甫饰) 是一家电脑公司才华横溢的优秀软件工程师，由于 一心投入工作而忽略了家庭和妻子。钟妻夏晓雪 (蒋雯丽饰) 本是一位很有发展前途的知识女性，婚后为丈夫而放弃了事业，把精力全放在了家庭和儿子丁丁身上，她希望自己的付出能得到丈夫更多的关爱和体贴。而钟锐却认为妻子越来越俗气，由于缺少沟通，两人的婚姻产生了危机。同时在工作上，钟锐与公司方经理在公司的发展方向上产生了重大分歧，钟难以忍受方的卑鄙，愤然辞职。方经理的刁难与妻子的不理解，使钟锐接受了一个大学毕业后到北京寻求发展的年轻漂亮的王纯 (俞飞鸿饰) 的...,
玻璃婚,16000,5,151,4,12,剧情家庭,暂无评分,评分人数不足,已完结, 全25集,0,0,简介：韩雨顺和蒋小雯结婚七年，进入了婚姻生活中的平淡期。因婚后一直无独立的住房，借居蒋小雯父母家中，生活深感不便。两人为韩雨顺能否分到最后一批福利房而忧虑烦恼，但身为知识分子，又缺乏有效的争取手段，致使双方相互滋生抱怨情绪。蒋小雯所在医院改制，将会有一批人员面临再培训或下岗分流，在这关键时刻，同科室一医生工作失误，使蒋小雯成为一场医疗事故的责任人，无以辩白。韩雨顺家在农村，韩母陪同韩父前来北京看病，阴差阳错，与蒋小雯关系别扭的医院同事陈莎莎，由于不知道韩雨顺与蒋小雯为夫妻……,
清明上河图,124000,2965,3251,411,691,古装历史,暂无评分,评分人数不足,已完结, 全29集,0,1,简介：该剧是根据举世公认的画中瑰宝《清明上河图》演绎的一个鲜为人知而又永生难忘的故事。通过画家张择端九死一生创作《清明上河图》的坎坷经历和生死恋情，重现了八百年前的华夏风云、三教九流市井百态和北宋王朝偏安江南醉生梦死不图收复国土的苟延残喘。图中上至帝王将相，下至芸芸众生纷纷走上荧屏，展现了鲜明的人物性格与矛盾冲突，既有张择端从为民画画到为民请命的深刻感悟，又有张择端以画感召民众、振奋民族自强不息精神，呼唤收复失地的爱国主义情操。全剧情节跌宕起伏曲折生动，场面恢宏壮观，演员阵容庞大。该剧导演柳健、于纪伟，制...,
赤子乘龙,2926000,136000,26000,1908,5219,情感奇幻古装,9.2,207,已完结, 全44集,1,75,简介：该剧讲述的是在远古时代人族和龙族之间战火不断，而人族太子李斌偏偏爱上了龙族公主水玲珑。于是，经过了无数的曲折和磨难，爱情的伟大力量终于使得两个种族冰释前嫌，永远和平地生活在了一起。,
尚方宝剑,124000,423,1534,65,424,古装剧情,暂无评分,评分人数不足,已完结, 全26集,0,1,简介：清朝年间，汤州国库黄金被盗，朝野震惊，龙颜震恕。此案错综复杂，牵涉甚广，三年中几任钦差大臣均落得无功而返，最后落得身首异处。一个偶然的机会，迂腐落后又不失机智幽默的潘安，因独特的行为方式被微服而至的皇上选中，稀里糊涂成了御赐钦差，专门负责国库被盗一案，自此，一个小小的候补官作为紫禁城内一颗一起眼的棋，卷入了血腥四起的重重灾难，也卷入了两个女人的感情漩涡。某日，潘安带着王爷安插在身边的小敦子和未过门的大脚媳妇开始了他的钦差征程。王爷的女儿冷香格格也悄然出京，一路随行。在赴汤州途中，潘安屡遭追害，险象环...,
四川好人,28000,21,277,12,70,搞笑,暂无评分,评分人数不足,已完结, 全100集,0,1,简介：《四川好人》的名字借鉴于德国著名剧作家布莱希特的同名剧作 。《四川好人》的故事发生在成都的一个特殊社区，由于历史遗留原因，这里一边是时尚高档的商品住宅小区，一边是过去老国营工厂的宿舍楼区，而负责管理商品楼的好人物业公司和老社区的职工活动中心更是共处一室。如此奇特的格局，给以经理卜安逸、职员柯不平、惠惠、乐乐为一方的好人物业公司，与职工活动中心主任方脑壳、棋牌室员工胖妹、大师的另一方的常规战争在所难免，再加上开餐馆的朱头肉、闷墩儿师徒和形形色色的业主们穿插其中，于是乎，一幕幕真人版的“猫”和“老鼠”的故...,
尘世笑谈,335000,9790,2558,1029,552,古装,暂无评分,评分人数不足,已完结, 全22集,0,4,简介：二十二集电视剧《尘世笑谈》将镜头再次对准了清末民初，讲述的是几个底层北京人精彩诙谐、跌宕起伏的故事。剧中浓郁的北京味道赢得了不少“粉丝”，评价呈一边倒趋势，不少观众谈起这部戏基本都用上了“精品”这个词。这部电视剧的编剧便是《日落紫禁城》的执笔者杨晓雄，他的作品一向关注历史中小人物的悲欢离合，此次也不例外，《尘世笑谈》延续了他一贯的风格，在嬉笑打趣中以小见大。此外，何冰、宋丹丹、谢园、李嘉存等人在剧中的表现也颇具时代特色，将各自的角色完美地融入了那段动荡起伏的年代，令观者叹服、深思……,
守望,36000,33,152,98,385,家庭剧情,暂无评分,评分人数不足,已完结, 全30集,0,0,简介：剧中，老父亲是位民间藏家，老母亲和丈夫一起，默默收藏明清黄花梨家具。儿女却分别遭遇种种人生危机：生意失败、学术作假、离婚、失业。而老父亲的藏品意外公之于众，更给种种危机平添一重财产纠葛。故事展示了诱惑与压力之下人性的复杂与挣扎，以及传统美德的定力与感召力。,
新72家房客,624000,6144,6241,3638,1303,搞笑,暂无评分,评分人数不足,已完结, 全40集,0,22,简介：英达情景喜剧家族沪上“添丁”老上海滑稽戏巨星严顺开打造“笑弹”连环大批上海喜剧明星担纲演出炮制原汁原味儿海派喜剧！已故编剧粱左以独有幽默笔调写出围绕一所上海老“石库门”房子里不同房客们所发生故事展现出大都市光环下那些普普通通上海人生活。,
名门劫,96000,2510,445,914,434,情感,暂无评分,评分人数不足,已完结, 全28集,0,0,简介：颜家因当年祖先举报韦氏“私编明史”有功，得到了韦家的大量藏书而成为江南最大的藏书人家。死里逃生的韦氏后人为夺回藏书潜入颜家，几代人前仆后继。至民国，嘉德堂藏书楼已成为颜家世代供奉的秘府，按规矩女人和外姓均不得进入，为此纷争不断。颜家大少爷正清生性恬淡，有志于成为藏书楼主。二少爷正白曾留学日本，为日本“金百合”组织的“嘉德堂计划”所利用，与穿清一色长衫的日本浪人里应外合，以图夺取藏书。此事为国民政府情报组织所侦悉，委派三少爷正明以特派员身份，暗中与日本“金百合”组织和汪伪特工展开较量。而卷入其中的简家...,
功夫婆媳,517000,2015,1917,1172,554,都市情感,暂无评分,评分人数不足,已完结, 全42集,0,5,简介：三流国标舞者任小弦和丈夫黄乐宗新婚度蜜月，黄乐宗却在冲浪时失踪。婆婆梅超英深受打击，竟怀疑小弦为谋夺家族武术企业“正宗”害死儿子。超英把小弦当成人生最大的威胁，决定不动声色的赶走她。在一次次失败后，小弦不仅坚信乐宗的感情，还搬进梅家和婆婆一起居住。超英百般无奈之下，诱骗不懂功夫的小弦应对前来踢馆的武术冠军，却不想小弦大获全胜。家族企业“正宗”危机重重，超英勉力支撑，却不敌前夫黄丹青暗算，危机之中小弦尽弃前嫌，照顾倍受打击的婆婆。失忆的超英不仅打出了久已失传的拳术，还逼迫小弦接管“正宗”，深陷情感与权...,
亲家,83000,89,283,259,698,都市情感家庭,暂无评分,评分人数不足,已完结, 全31集,0,0,简介：《亲家》是一部都市情感剧，主要以作为亲家的两家人之间的感人故事为视角，展现了一幅立体的情感图景。由于现代题材特别是亲情题材的电视剧是市场上的主流，但精品实属凤毛麟角。其重要原因就是这些题材的电视剧往往追求尖锐的矛盾冲突，乃至看似悲情的结局，这样的充斥着编造之感的作品填充了观众的大脑，早已激不起观众的情感反应。观众需要的不一定是大起大浮的矛盾和精心编造的悬念，相反，人们需要的更是一些充满着生活气息和以真实情感为源泉的真诚的剧本。,
野百合也有春天,17000,21,168,3,30,情感,暂无评分,评分人数不足,已完结, 全28集,0,0,简介：通过板车工人聂福祥和严慧、郑秀兰两个女人之间的爱情故事以及这两个女人和另外两个男人苏冉、海旺之间的感情纠葛，热情歌颂了中华民族重感情讲诚信的传统美德，用他们的人格魅力诠释了人和人之间的交往离不开真情，唯有真情才能为金石所开这样一个主题。该剧从六十年代初开始写起，避开动乱的文革十年，一直写到改革开放的二十世纪未，通过时代的变迁，表述了当今构建和谐社会的必然性和其重要性。,
第5个空弹壳,75000,1028,507,202,213,刑侦,暂无评分,评分人数不足,已完结, 全20集,0,1,简介：刑警田志平二十年前收养了他亲手逮捕的罪犯苇子的女儿小梅，并与小梅的母亲卜玉琴结婚。二十年过去了，从襁褓中长大的小梅丝毫不知田志平并非她的亲生父亲，一家人相亲恩爱。被判无期徒刑的苇子经过改造后立志重新做人，争取提前释放，待出狱后寻找一直深爱的妻子卜玉琴和女儿平安地过下半生，当苇子只剩半年刑期时，他从新近入狱的犯人李三宝口中得知自己的妻子和女儿与当年逮捕他的田志平为一家，他的性格开始扭曲，再也无法坐完本已不多的刑期，杀人越狱，回城找寻妻子和女儿并对田志平实施复仇计划。,
至高荣誉,40000,193,398,323,558,剧情,暂无评分,评分人数不足,已完结, 全30集,0,0,简介：特区是喧嚣的，而热闹的生活背后却往往是由平凡的人和平凡的事组成的。警官大学政治教员叶苇（李羚饰），在还有三个月就将被提为副教授的时候却为了解决夫妻两地分居的问题调来了鹏成，任公安局刑警队副教导员。这本是件很平常的事。青年刑警李克（于荣光饰）得知后坐立不安，他不知该怎样在这位将成为自己上级的叶苇面前面对那过去的恩恩怨怨。人与人交往本来就是有矛盾、有恩怨，这也很平常。老刑王守一（高明饰）却自有主意，调个女人来给自己做副手，更何况还有照顾成份。这太平常，可聪明了一辈子的他怎么都没想到，麻烦从此来了。最高兴...,
第六个嫌疑人,51000,209,311,133,340,刑侦,暂无评分,评分人数不足,已完结, 全20集,0,0,简介：在众多怀疑线索中，赵毅始终觉得那些被人去掉的老照片是一条重要的线索。赵毅把昔日的同学召集到许老师的追悼会上，在老同学的相聚中开始了排查。在毫无进展的情况下，刑警队长张双喜对赵毅的侦破方向产生了质疑。就在赵毅为此而困惑之时，他偶然发现，自己珍藏的那张全班合影与在许静宜家看到的那张全班合影有微小的出入。他珍藏的合影中，他是和全班的高才生叶飞宇并肩站在一起的，而许静宜家中的那张，叶飞宇是和许静宜站在一起的。这究竟是怎么回事？难道这张合影有两个版本？赵毅找到了所有同学家中珍藏的全班合影，证实了这张照片不可能...,
谜证,113000,948,937,341,256,刑侦,暂无评分,评分人数不足,已完结, 全24集,0,2,简介：系列悬疑刑侦剧《谜证》题材大胆新颖视角独特细腻家庭、婚姻、伦理交织其中既有惊悚刺激、一波三折血腥案件又有缠绵纠葛、动恻心扉情感故事不同以往叙事风格更令人耳目一新。,
电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
别逼我结婚,370000,11000,1566,1424,522,情感,暂无评分,评分人数不足,已完结, 全34集,0,3,简介：某日，东海风（朱雨辰 饰）在表哥金海涛（佟悦 饰）的婚礼上结识了新娘黄上上（高露 饰）的好友何小河（车晓 饰），两人不打不相识。东海风奉父母之命同边凤梅（崔波 饰）交往，两人原来准备携手步入婚礼的殿堂，然而，东海风在工作上一直不顺利，嫌贫爱富的边凤梅转而投向了富豪江德才（程雍 饰）的怀抱。何小河在民政局工作，成日里眼里看见的都是不幸的婚姻和夫妻之间的分分合合，对爱情和家庭早就失去了信心，颇有些自暴自弃随波逐流的意味。东海风察觉到了何小河的消沉和放弃，不离不弃的守候在她的身边，给予支持和鼓励，最终赢得了美人心。,
太阳花,11000,--,59,--,9,剧情,暂无评分,评分人数不足,已完结, 全23集,0,0,简介：“女性三部曲”《绿箩花》的姊妹篇《太阳花》，第三部《红草莓》。《太阳花》将目光锁定中年女性群体，话题落在面对坎坷人生，这些成熟女性将如何面对，剧中主要塑造两个女性形象，一个是温柔传统的普通女人赵佳蕙，一个是冷漠孤傲的知识女性李若寒。,
天字一号,386000,2298,2022,1161,527,谍战,暂无评分,评分人数不足,已完结, 全28集,0,4,简介：在抗日战争和国共内战相继落下帷幕之后，中华人民共和国终于在多灾多难的华夏大地上建立起来。但是伴随着歌舞升平的和平表象，国共两党暗流下的斗争仍在继续。不甘失败的国民党在新中国的首都北京部署了“天字一号”的破坏计划，该消息通过我党潜伏在地方情报机关的卧底“中华一号”传回，谁知我党201情报处的敌方卧底“蝎子”也将该消息传到台湾。双方卧底的事实昭然若揭，国民党情报机关头目陶然和我方的负责人纷纷派出人马指向了香港的情报人员。看不见硝烟的较量在港府接连上演，不知不觉间，千百万人的命运被他们所改变……,
血雨母子情,411000,1122,815,606,360,战争,暂无评分,评分人数不足,已完结, 全35集,0,2,简介：1927年，武汉。第一次国共合作破裂，反动军警布下天罗地网搜索一个身藏秘密线索的六岁男孩——金宝。餐厅女招待宁广冬经过艰难抉择，冒险收养了这个共产党人的遗孤。为保护金宝，她屡次陷入绝境，依靠不屈的意志，在恋人共产党人肖勃及小白龙的帮助下化险为夷，并协助肖勃摸清了金宝身上隐藏的线索，揭开了日本人侵华的惊天阴谋。宁广冬含辛茹苦抚养金宝。抗战胜利后，金宝加入国民党，宁广冬因一桩凶杀案成为国民党实施政治阴谋的替罪羊。负责审判她的正是金宝。经肖勃缜密的调查取证，金宝认清国民党假和谈真内战的嘴脸，与母亲团圆，走向了...,
爱你那天正下雨,60000,3018,424,579,398,情感都市,暂无评分,评分人数不足,已完结, 全23集,0,1,简介：成功的企业家艾橘上在孩童时，机缘巧合地亲眼看到妹妹和母亲相继死亡，便误会是他爸爸宁信之和秘书黎恩一手造成。由于年幼无知，轻信谎言，离家出走。多年后的他，一直念念不忘要为母亲和妹妹讨回公道。,
陪读,8135,3,101,9,12,励志,暂无评分,评分人数不足,已完结, 全26集,0,0,简介：韦家宏(丁勇岱饰)和赵红英(伍宇娟饰)夫妇，为了让女儿韦小玉顺利考上理想的大学，不惜辞去优越的工作住进陪读大院，成为众多陪读家长中的一员。赵红英是一个外表泼辣心地善良的中年妇女，她素质不高，“中年危机”令她有些神经过敏。这天，陪读大院又来了一位单亲妈妈阿琼(陶慧敏饰)，她也是来给儿子吴小山当陪读妈妈的。没想到的是，她居然是韦家宏二十年前的旧情人。,
阳光代表,403000,9410,2019,218,786,都市,暂无评分,评分人数不足,已完结, 全20集,0,9,简介：南高县一把手的位置空半年了，上上下下都以为这把交椅非副县长刘超莫属，刘超自己也做好了大展宏图的思想准备，可忽然间从上边派来一个吴书田，人们都觉得此人来头不小。其实硕士研究生吴书田没什么背景，不过是在面对社会公开选拨公务员时考入省委机关，因不谙机关世事，同领导意见相左，被贬了下来。,
谁与争锋,107000,753,564,236,168,刑侦悬疑剧情,暂无评分,评分人数不足,已完结, 全23集,0,1,简介：这是一部具有相当强警示意义的刑侦片，细腻真实地再现了发生在我们现实生活中一个个罕见的凶杀案件。全剧每集讲述一个故事，每集一个案例，且每一个案例的切入角度不同，有因婚外恋引起的凶杀，有因生意场里纠纷而起的灭口，有发生在宾馆里的令人触目的血案……发生在普通生活中的杀戮事件如此令人心惊，也含蓄地道出了潜伏在这些杀人案件背后的一些社会根源。,
