电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
变形金刚：救援汽车人 第四季,894000,312,7186,239,4467,少儿战斗,暂无评分,评分人数不足,已完结, 全26话,1,4,简介：变形金刚系列动画主要讲述的是在遥远的宇宙中有一个星球--Cybertron.星球上有一种金属生命体，他们在近百万年间分化成正义的博派--汽车人和邪恶的狂派--霸天虎。两军进行了几百万年的战争，星球能源耗尽霸天虎追随汽车人来到了地球。飞船坠毁在一座火山中。四百万年后，火山爆发飞船的主计算机——显像1号启动，并按飞机和汽车的形态改造两军。战争在地球上展开，到了2000年，汽车人与霸天虎展开血战。汽车人的首领擎天柱向宇宙发布了消息，希望分散在在宇宙各处的汽车人沿发布的坐标加入他们。一直在远处等待任务的救援部队E-17根据消息来到地...,
变形金刚：救援汽车人 第四季 中文配音,1288000,1485,7186,610,5535,少儿战斗,暂无评分,评分人数不足,已完结, 全26话,0,9,简介：变形金刚系列动画主要讲述的是在遥远的宇宙中有一个星球--Cybertron.星球上有一种金属生命体，他们在近百万年间分化成正义的博派--汽车人和邪恶的狂派--霸天虎。两军进行了几百万年的战争，星球能源耗尽霸天虎追随汽车人来到了地球。飞船坠毁在一座火山中。四百万年后，火山爆发飞船的主计算机——显像1号启动，并按飞机和汽车的形态改造两军。战争在地球上展开，到了2000年，汽车人与霸天虎展开血战。汽车人的首领擎天柱向宇宙发布了消息，希望分散在在宇宙各处的汽车人沿发布的坐标加入他们。一直在远处等待任务的救援部队E-17根据消息来到地...,
巡逻现场实录2017,11927000,34000,1533000,7884,190000,社会罪案,8.5,372,已完结, 全6集,0,72,简介：《人间世》姊妹篇。医者为生命的防线，警察为城市生活的防线，从巡逻民警的视角来看世间百态。这是《人间世》之后的城市又一次聚焦，从白衣天使到城市卫士，同样有温度的真实记录。,
八两金,159000,3095,6169,727,6739,剧情喜剧爱情,9.7,202,105,2,61,简介：张婉婷“移民三部曲”之一，时间背景为中国大陆改革开放初期。猴子文革期间一声不吭离别家乡汕头台山偷渡赴美，立誓再也不回中国。16年来，他凭着中国人特有的小聪明和吃苦耐劳兢兢业业地做着的士司机，可是攒下的积蓄却是有限，不过身体倒是发福不少。熬不住思乡之苦下决心回乡时，他向伙伴借下八两金（金手表、金项链），又买大大小小物件若干好“衣锦还乡”。归家途中遭遇小波折...,
鳄里斯和鱼英俊,2758000,4327,8088,61000,176000,治愈泡面原创,9.7,102,连载中,0,35,简介：一个是可爱却不太自信的打工鳄，一个是嘴毒心善的深海哲学鱼。一对有趣又充满生活哲学的“摸鱼”组合。《鳄里斯和鱼英俊》通过讲述这对“摸鱼”搭档的故事，给当代Z时代的人们搭建一座避世小岛，用轻松治愈而柔软的动画给疲惫的人们来一场“心灵SPA”。,
给你生命给我爱,202000,215,587,44,192,剧情家庭,暂无评分,评分人数不足,已完结, 全32集,0,2,简介：该剧讲述一对双胞胎姐妹刚出生便被迫分离，不同的成长环境造就了两人迥异的性格，巧合的是，长大后两人却爱上了同一个人，上演了一出纠结的三角恋情。,
流言终结者（中配版）,12300000,6488,731000,5626,45000,科技,9.8,188,连载中,0,43,简介：《流言终结者》是一档科普系列节目，由特效专家 Adam Savage和 Jamie Hyneman主持，他们利用自身的专业和技巧，针对各种广为流传的谣言和都市传奇进行实验，用科学的方法并融入百分之百的热情以及朴实无华而不失精巧的实验，为观众揭示了一个又一个广为流传的谣言和都市传奇背后的真相。,
警方110,21000,60,208,7,47,刑侦剧情,暂无评分,评分人数不足,已完结, 全7集,0,0,简介：由凭借《西部警察》,《车间主任》荣获全国“金鹰奖”,“飞天奖”最佳编剧的张宏森执笔,以济南为背景以山东乃至全国110警员排除万难,为民服务的感人事迹为采访视线,重塑了人民警察的光辉形象.七集电视连续剧《警方110》由山东电影电视剧制作中心,济南市公安局,中央电视台影视部三家联合摄制,山东电影电视剧制作中心第六制片社承担制作.本剧主演为《白眉大侠》男一号赵恒煊,男二号为《闪闪的红星》春伢子扮演者刘继忠,女一号为《青春之歌》林道静扮演者陈炜,女二号为《本命年》最佳女配角岳红.“110”指挥长扮演者为《红高粱》中的罗汉大叔腾汝骏...,
富豪谷底求翻身 第二季,12157000,60000,515000,10000,42000,社会,8.7,492,已完结, 全24集,8,91,简介：又一位身价可观的企业家面临从零开始白手起家的创业挑战了！与第一季嘉宾只是Gleen不同，这一季中，有三个挑战者，在更多的闯关设计中，他们将通过不同的个性、职业等特性，展现如何在陌生的环境中谷底翻身。,
美丽心灵,32000,35,519,8,94,剧情,暂无评分,评分人数不足,已完结, 全20集,0,0,简介：程慧和姐姐程雪自小在缺乏父母亲情的环境中成长，姐妹相依为命。母亲方琴是国内有名的摄影师，年轻时为了个人的事业，置家庭于不顾。父亲程子农失望之余愤然离家出走。雪把家庭破碎的责任完全归于母亲，对母亲成见很深。她是个很有野心的姑娘，有极高的舞蹈天赋，深信自己一定会成为一名杰出的舞蹈家。可是，命运却和她开了一个残酷的玩笑。她在一次比赛中受伤后，再也不能重返舞台。于是，雪把自己的理想寄托在妹妹身上，一心要把慧培养成舞蹈家。慧本来爱好绘画，在姐姐的安排下放弃了绘画，改学舞蹈。和要强的姐姐相比，她似乎是个没有主见...,
裸婚之后,69000,71,381,10,85,家庭,暂无评分,评分人数不足,已完结, 全34集,0,0,简介：亦城和黄一琳这对小夫妻在鲜花、美酒、汽车、洋房的簇拥下开始了他们的婚后生活，当黄一琳用尽所有时间和精力试图留住这美景时才发现那美丽风景中的男主人公已与她渐行渐远。来自外省的池翔和苗青青毕业后留在北京共创未来，婚后两人面对事业、住房、育儿等种种现实生活的考验曾迷茫、消沉，凭着对彼此真爱的坚持，终于在这个城市找到了属于自己的位置，携手创建着他们的幸福生活。四个刚刚迈入婚姻门槛的青年男女，以各自不同的婚姻经历见证了时代观念的变迁，但也明白了幸福的真正内涵有其一致性。,
三滴血,61000,88,897,11,249,,暂无评分,评分人数不足,已完结, 全27集,0,1,简介：此剧以山西皇城相府为外景拍摄基地，将传统经典戏剧经典戏剧《三滴血》与明朝宫廷的“三大疑案”之一的“红丸案”与“滴血验亲”等民间传奇故事有机的结合，集扑朔迷离的公案戏与奇巧离奇的民间传奇于一体，形成“案中案”、“奇中奇”，使故事更具有悬疑色彩。独特而传奇的案情、浓烈而纠葛的情感、悲、喜剧化同时并存的人物命运、丰富的民间韵味是本剧的精华所在。在破案过程中，炽烈的爱情、浓烈的父子情、父女情交织其中；双胞胎兄弟相同的相貌使爱情和案情更加扑朔迷离；有为了财产杀死父亲、兄弟反目为仇的原罪，有追求真实却又违背真实...,
挽歌,185000,174,3882,81,2877,剧情爱情,暂无评分,评分人数不足,110,0,2,简介：年过六旬的David是本地颇有声望的文化评论员，在电视节目上的谈笑风生让他魅力无穷。同时身为大学教授的他在课堂作业评分前从不与女学生乱搞以免被控性骚扰。David对感情自命不羁，现今生活的密友是20年前的女学生。不过自从他遇见24岁的Consuela后情况发生了改变...,
相思树,31000,349,404,39,75,剧情,暂无评分,评分人数不足,已完结, 全29集,0,4,简介：大学毕业生康凯（吴秀波饰）与女友知名主播尚洁（陈数饰）的爱情历经波折，婚后孩子的出生令两人分道扬镳，因为孩子的父亲竟是他人。康妹（田朴珺饰）好高骛远，不顾恋人肖弟挽留，一心想出国深造。打工妹晓牧（浦蒲饰）几年前骗得康凯同情，资助她弟弟上大学，如今良心发现，决心登门道歉。当她看到因轻伤落魄的康凯，心生怜悯，到其经营的小餐馆打工，以支持这个陷入窘境的大哥。日久生情，她很快爱上了康凯。为了与其比肩，只有高中文化的晓牧自学成才，成为一名杂志社的编辑。但不久后，康凯因故入狱，他主动断绝了与晓牧的联系。出狱后的...,
原狱,185000,220,612,22,491,剧情,暂无评分,评分人数不足,已完结, 全27集,1,5,简介：清朝末年，朝政腐败，官逼民反。一支揭竿而起的捻军家族队伍兵败后隐姓埋名成为煤矿窑工。为了生存，二团总肖太平毅然抛却均贫同苦，不蓄私银的旧规矩，开始艰难人生的新抉择。为了生存，他面对地痞无赖的挑衅，窑掌柜的陷害，忍辱负重，不屈不挠，经过拚力抗争，惨淡经营，日渐成为当地首富。时代仍在发展，肖太平不断遇到新的麻烦。隐瞒义军身份始终像是悬在头上的利剑，时时对他形成威胁。官府正是借题发挥，对他进行百般敲诈勒索。肖、曹两姓的兄弟也因贫富不均而矛盾日益加剧。甚至他的妻舅曹二顺也与他反目为仇，向他发难，带头歇窑。在...,
西门豹,74000,561,1073,36,226,古装,暂无评分,评分人数不足,已完结, 全22集,0,3,简介：2005年9月29日，20集电视连续剧《西门豹》，在西门豹“投巫治邺”处的安阳县正式开机。据介绍，该剧由著名导演翟俊杰执导，著名特型演员卢奇担纲主演，著名演员王馥荔、李法曾、舒耀蠧、穆怀虎、黑子、张亚欣、赵子琪等联袂出演。,
宝可梦：皮卡丘和可可的冒险,6322000,35000,616000,29000,76000,剧情动画冒险,9.8,4329,98,16,1272,简介：森林遭遇危机时，小智、皮卡丘与可可一同挺身而出，为保护森林中的宝可梦而战。除了一贯的可爱的宝可梦形象外，本片还着重刻画了萨戮德与可可之间超越血缘的父子情谊。,
雪山飞狐,2136000,32000,19000,1345,5723,武侠古装剧情,9.5,148,已完结, 全40集,0,46,简介：改编自金庸的武侠神作《雪山飞狐》，大部分取材于其中的片外篇《飞狐外传》。胡、范、苗、田家自李自成兵败起便结下世仇，胡家后人胡一刀（孟飞饰）在守护宝藏的过程中救下一名女子名叫冰雪儿（龚慈恩饰），两人相爱结成夫妻，生下儿子取名胡斐（孟飞饰）。田家后人田归农（汤正宗饰）在苗、胡二人决斗时下毒，使得胡一刀中毒身亡，妻子殉情而去，留下胡斐给佣人平阿四照顾。长大成人的胡斐得到了《胡家刀法》真传，闯堂江湖的途中胡斐对神秘的袁紫衣（伍宇娟饰）暗生情愫，又遇到了毒手药王的弟子程灵素（龚慈恩饰）以及苗人凤之女苗若兰（王...,
雄关遗梦,45000,42,556,21,99,古装,暂无评分,评分人数不足,已完结, 全40集,0,0,简介：这是一个穿梭在梦幻和现实之间、浪漫、凄美、神秘、壮丽的爱情史诗故事。这是一个女人用绚烂生命抗击封建愚昧制度，追求爱情，自由，平等的英雄故事。这是两个男人为得到自由，得到爱情，而争夺权利、从死亡走向新生，从新生走向死亡的命运轮回故事。这是一个在虚拟的旧时代环境中，讲述的关于爱情，关于欲望、关于亲情、关于权利、的传奇寓言故事。清朝末年，戊戌变法失败、支持变革的大学士李永春，在临死之际、为保女儿性命，将自己的女儿冰云远嫁到朝廷权利无法涉及的阴阳关、做了关长之弟三爷徐光泰的夫人，就此，在与世隔绝的阴阳关内，...,
朱元璋惩贪,5802000,130000,36000,6362,15000,剧情历史,9.8,927,已完结, 全35集,1,259,简介：14世纪下半叶，一代英雄朱元璋（李立群饰）统一南北，建立起汉人最后一个封建王朝大明朝。天下初定，乱象未伏，明太祖对贪官污吏深恶痛绝，遂决心建立一个清正廉洁的帝国，不惜用严酷的手段荡涤秽恶。他深入民间，微服私访，同时恢复风闻言事制度，让民间有冤情者可直接向皇帝申诉。上下关节被打通，皇亲国戚、朝廷要员、拥兵大将、前朝余孽等种种危害国家根基的蠹虫纷纷现形，而这群败德之人未免一死，不免困兽犹斗，竭尽所能和朱洪武的屠刀展开最后的对抗，由此引出洪武一朝三十一年的连番大戏。巍巍洪武之治，成就开国帝王的千秋霸业……,
烽火线,125000,36,383,21,80,战争,暂无评分,评分人数不足,已完结, 全42集,0,1,简介：解放初期，参加了解放全中国战斗的马耀武回到家乡，在受命清剿大别山地区残匪的遭遇战中，战死沙场。绝望的秦春雪嫁给了救下她的马耀武的战友胡杨林。婚礼当日，马耀武突然复活归来。后来，三人在大别山地区严峻惨烈的剿匪烽火线上，历经磨难和生死考验以及情感煎熬，终于解除误会。马耀武与战友胡杨林从情敌到生死兄弟，带领解放军剿匪骑兵营和大别山地区人民群众并肩战斗，与沙麻子为首的白狼岭恶匪生死搏杀，演绎了一场场热血沸腾的剿匪传奇……整部剧富于浪漫的革命传奇色彩和独特的地域色彩，既符合时代精神要求的革命英雄主义基调，又表...,
决币,108000,153,532,17,254,悬疑剧情,暂无评分,评分人数不足,已完结, 全38集,0,3,简介：1935年国民政府为预备长期作战的后勤和经济准备，强制推行法币，停止银元、军用券、关金券等货币使用，为抵抗日军侵华做准备。对此，日本军方在哈尔滨秘密制造大量伪法币，搅乱金融和贸易秩序。日军称“黑猫计划”。针对日军的破坏，主管法币的财政部长宋子文派遣财政部直辖的税警总团副参谋长李道仁前往哈尔滨，目的为摧毁伪法币母版和制造所；同时，国民党派宋孝严，共同完成此项任务。日军派出土肥原和木户保卫“黑猫计划”，诛杀李道仁等人。敌我双方利用对方弱点，就此展开生死角逐。李道仁利用木户安插给自己的日本妻子掌握了木户的行动...,
七十二家房客第五部,2365000,21000,78000,785,2083,,暂无评分,评分人数不足,已完结, 全120集,0,16,简介：电影《七十二家房客》轰动一时，著名粤剧演员文觉非在电影里扮演的大反派“太子炳”深入民心，其余的经典角色如“三六九”等也脍炙人口，里面的一些台词更成为广东地区的流行俗语。而周星驰也在他的作品《功夫》里对《七十二家房客》的主场景和主要角色进行了艺术加工，向这部经典影片致敬。新改编的《七十二家房客》主要讲述解放前40年代里广州西关一栋三层楼的大杂院里，“包租公”太子炳、“包租婆”八姑和七十多家房客交织所发生的许多妙趣横生、让人忍俊不禁又发人深省的故事。,
唯有你,21000,21,1146,49,171,剧情爱情短片,暂无评分,评分人数不足,11,0,0,简介：当父亲的阿兹海默症状越来越严重，吉姆为难于是否继续由自己照顾他。一次危险事件中，父亲差点使得怀孕的妻子发生意外，他不得不做出一个艰难的决定。,
我和吸铁石和一个死去的朋友,91000,314,9830,2233,3722,动画短片,9.6,173,13,0,47,简介：在我的童年时代，我时常因为无所事事把一块吸铁石绑在裤子的后面，整天拉着它出门。吸铁石能吸到很多公路上的铁钉，螺丝和啤酒盖，这让我很开心。小明和我一样无所事事，我们俩经常结伴去玩洞洞奖，我以为这样的日子会一直持续下去，但伴随着一场大雨过后，小明意外的去世了，我的童年也就结束在了那里。,
七十二家房客第十一部,1119000,10000,78000,571,1320,,暂无评分,评分人数不足,已完结, 全120集,0,10,简介：电影《七十二家房客》轰动一时，著名粤剧演员文觉非在电影里扮演的大反派“太子炳”深入民心，其余的经典角色如“三六九”等也脍炙人口，里面的一些台词更成为广东地区的流行俗语。而周星驰也在他的作品《功夫》里对《七十二家房客》的主场景和主要角色进行了艺术加工，向这部经典影片致敬。新改编的《七十二家房客》主要讲述解放前40年代里广州西关一栋三层楼的大杂院里，“包租公”太子炳、“包租婆”八姑和七十多家房客交织所发生的许多妙趣横生、让人忍俊不禁又发人深省的故事。,
七十二家房客第十二部,1571000,10000,78000,695,1760,搞笑,暂无评分,评分人数不足,已完结, 全120集,0,18,简介：电影《七十二家房客》轰动一时，著名粤剧演员文觉非在电影里扮演的大反派“太子炳”深入民心，其余的经典角色如“三六九”等也脍炙人口，里面的一些台词更成为广东地区的流行俗语。而周星驰也在他的作品《功夫》里对《七十二家房客》的主场景和主要角色进行了艺术加工，向这部经典影片致敬。新改编的《七十二家房客》主要讲述解放前40年代里广州西关一栋三层楼的大杂院里，“包租公”太子炳、“包租婆”八姑和七十多家房客交织所发生的许多妙趣横生、让人忍俊不禁又发人深省的故事。,
渔王,263000,226,6911,990,6342,动画短片,8.6,114,5,1,62,简介：整个故事的来源其实是来自一段歌词“渔王还想，继续做渔王，而海港已经，不知去向，此刻他醉倒，在洗浴中心，没有潮汐的梦，胸口已暮色苍茫。”,
七十二家房客第三部,2860000,28000,78000,1185,2974,,9.8,155,已完结, 全120集,0,35,简介：电影《七十二家房客》轰动一时，著名粤剧演员文觉非在电影里扮演的大反派“太子炳”深入民心，其余的经典角色如“三六九”等也脍炙人口，里面的一些台词更成为广东地区的流行俗语。而周星驰也在他的作品《功夫》里对《七十二家房客》的主场景和主要角色进行了艺术加工，向这部经典影片致敬。新改编的《七十二家房客》主要讲述解放前40年代里广州西关一栋三层楼的大杂院里，“包租公”太子炳、“包租婆”八姑和七十多家房客交织所发生的许多妙趣横生、让人忍俊不禁又发人深省的故事。,
七十二家房客第六部,2030000,17000,78000,761,1896,搞笑,暂无评分,评分人数不足,已完结, 全120集,0,13,简介：电影《七十二家房客》轰动一时，著名粤剧演员文觉非在电影里扮演的大反派“太子炳”深入民心，其余的经典角色如“三六九”等也脍炙人口，里面的一些台词更成为广东地区的流行俗语。而周星驰也在他的作品《功夫》里对《七十二家房客》的主场景和主要角色进行了艺术加工，向这部经典影片致敬。新改编的《七十二家房客》主要讲述解放前40年代里广州西关一栋三层楼的大杂院里，“包租公”太子炳、“包租婆”八姑和七十多家房客交织所发生的许多妙趣横生、让人忍俊不禁又发人深省的故事。,
浪子燕青,136000,941,2536,54,533,古装剧情,暂无评分,评分人数不足,已完结, 全35集,0,7,简介：北宋年间，皇帝徽宗性爱丹青，不理政事。奸臣高俅把持朝政，贪赃枉法，陷害忠良，民不聊生，一大批英雄豪杰被逼上梁山落草为寇面对混沌纷乱的江山，身心憔悴的宋徽贪恋着凡人的喜怒哀乐，一代名妓李师师的出现，更是让这个多情善感的皇帝彻底陷入意乱情迷之中。意想不到的是，这位风华绝代的京城名妓，竟然就是震动京师，令贪官权贵闻风丧胆的侠盗“飞将军”。浪迹江湖，放浪不羁的江湖浪子燕青，出于争强好胜，教训仇敌高衙内，抓住了正在行窃的“飞将军”，发现竟然是自己心仪已久的李师师……不知不觉中，江湖浪子又陷入了与一代帝王的红颜...,
七十二家房客第二部,4007000,39000,78000,1913,4561,搞笑,9.8,241,已完结, 全120集,0,65,简介：电影《七十二家房客》轰动一时，著名粤剧演员文觉非在电影里扮演的大反派“太子炳”深入民心，其余的经典角色如“三六九”等也脍炙人口，里面的一些台词更成为广东地区的流行俗语。而周星驰也在他的作品《功夫》里对《七十二家房客》的主场景和主要角色进行了艺术加工，向这部经典影片致敬。新改编的《七十二家房客》主要讲述解放前40年代里广州西关一栋三层楼的大杂院里，“包租公”太子炳、“包租婆”八姑和七十多家房客交织所发生的许多妙趣横生、让人忍俊不禁又发人深省的故事。,
长城红,124000,47,393,29,117,战争历史,暂无评分,评分人数不足,已完结, 全36集,0,0,简介：《长城红》是一部以冀东抗战为背景，以潘家峪复仇团抗战斗争为主线的大型史诗性作品，也是首部表现潘家峪惨案和潘家峪复仇团故事的电视作品。,
我爱钟无艳,102000,490,3090,95,500,搞笑古装,暂无评分,评分人数不足,已完结, 全30集,0,6,简介：钟无艳（范文芳 饰）是举国闻名的才女，天资聪慧，又自幼跟在鬼谷子（徐锦江 饰）身边学习兵法战术，所以虽然年纪轻轻，便已经文韬武略。为了能够专于学术，钟无艳修炼了绝情功，一旦破功，脸上便会出现难看的红色胎记。齐宣王（罗嘉良 饰）虽然身为一国之君，却无心管理朝政，而是热衷于发明制作各种稀奇古怪的小玩意儿。心急如焚的大臣请来了钟无艳参政协助齐宣王，在此过程中，齐宣王渐渐爱上了无所不知无所不能的钟无艳。最终，钟无艳被齐宣王的一片真心所感动，嫁给了他成为了皇后，却也因为动了情而破相。无常子是鬼谷子的师弟，和钟无艳...,
旗袍旗袍,86000,62,579,17,97,剧情,暂无评分,评分人数不足,已完结, 全43集,0,2,简介：1931年，狼子野心的日本帝国主义悍然发动了九•一八事变，然而蒋介石（马晓伟饰）的不抵抗政策却纵容了入室歹徒的嚣张气焰，东北一夜之间沦陷，亡国灭种的危机迫在眉睫。至此关口，全国上下掀起了声势浩大的抗日浪潮，其中上海滩劳工会馆的一群爱国志士更是群情激奋，以王九洲（侯勇饰）为首的一群人决定铤而走险刺杀蒋介石。在行动中他结识了担任老蒋保卫工作的梅默庵（申军谊饰）的女儿月堇，围绕月堇和老蒋，九洲和梅默庵展开连番对决。随着国内外局势的风云变化，刺杀队伍也悄然分流，针对老蒋和日本人的行动此起彼伏，而国家的前途依旧黯...,
最后一吻,72000,422,2454,67,2706,剧情喜剧爱情,暂无评分,评分人数不足,102,0,3,简介：迈克尔和他的老友们是所谓的难兄难弟。尽管他表面看来生活幸福，三十而立的年龄却给他带来某种不安。女朋友珍娜是个理想的伴侣，聪明温柔，光彩照人，但迈克尔对婚姻和责任还没有心理准备。因此，当珍娜告诉他有了身孕的消息时，迈克尔有点不知所措。他的老友也都面临着各种感情和婚姻问题，他们试图逃避，而迈克尔也迎来了新鲜感情的诱惑...,
国家底线,174000,164,1504,72,460,剧情,暂无评分,评分人数不足,已完结, 全30集,0,3,简介：废物原料走私又死灰复燃，仙海检验检疫局协同相关部门，张网以待。然而，行动失利，那个漏网多时的幕后人物再次隐入一片迷雾。循着线索，稽查科长丁达惊愕地发现，幕后人物竟是自己的同窗老友、回国投资的何立东。丁达不敢相信这是真的，但职业的敏感和守护国门的职责，让他不能不盯上何立东为重点工程的化工厂供应的进口设备——这些设备，事关国家利益和人民生命财产安全。进口设备隐藏着何立东不为人知的阴谋，连与之合伙的化工厂总经理黄奇也不知内情。何立东利用丁达对孔思琴的感情，巧妙地设置重重障碍，阻止调查，以致孔思琴与丁达渐行...,
